time,x,y,row,col,coverage,collision_count,v,w
0.13,-1.322,-1.349,0,0,0.009,1,0.465,0.448
0.26,-1.294,-1.348,0,0,0.009,1,0.405,0.802
0.38,-1.265,-1.346,0,0,0.009,1,0.405,0.800
0.51,-1.237,-1.345,0,0,0.009,1,0.405,0.800
0.64,-1.209,-1.344,0,0,0.009,1,0.405,0.800
0.77,-1.181,-1.343,0,0,0.009,1,0.405,0.800
0.90,-1.153,-1.341,0,0,0.009,1,0.405,0.800
1.02,-1.125,-1.340,0,0,0.009,1,0.405,0.800
1.15,-1.097,-1.339,0,1,0.019,1,0.405,0.800
1.28,-1.068,-1.338,0,1,0.019,1,0.405,0.800
1.41,-1.040,-1.336,0,1,0.019,1,0.405,0.800
1.54,-1.012,-1.335,0,1,0.019,1,0.405,0.800
1.66,-0.984,-1.334,0,1,0.019,1,0.405,0.800
1.79,-0.956,-1.333,0,1,0.019,1,0.405,0.800
1.92,-0.928,-1.331,0,1,0.019,1,0.405,0.800
2.05,-0.900,-1.330,0,1,0.019,1,0.405,0.800
2.18,-0.872,-1.329,0,2,0.028,1,0.405,0.800
2.30,-0.843,-1.328,0,2,0.028,1,0.405,0.800
2.43,-0.815,-1.326,0,2,0.028,1,0.405,0.800
2.56,-0.787,-1.325,0,2,0.028,1,0.405,0.800
2.69,-0.759,-1.324,0,2,0.028,1,0.405,0.800
2.82,-0.731,-1.322,0,2,0.028,1,0.401,0.828
2.94,-0.703,-1.321,0,2,0.028,1,0.405,0.803
3.07,-0.675,-1.320,0,2,0.028,1,0.405,0.800
3.20,-0.646,-1.318,0,3,0.037,1,0.481,0.352
3.33,-0.618,-1.317,0,3,0.037,1,0.524,-0.096
3.46,-0.590,-1.316,0,3,0.037,1,0.448,-0.544
3.58,-0.562,-1.314,0,3,0.037,1,0.373,-0.992
3.71,-0.534,-1.313,0,3,0.037,1,0.298,-1.440
3.84,-0.513,-1.312,0,3,0.037,1,0.254,-1.700
3.97,-0.498,-1.312,0,3,0.037,1,0.254,-1.700
4.10,-0.483,-1.312,0,3,0.037,1,0.254,-1.700
4.22,-0.468,-1.312,0,3,0.037,1,0.254,-1.700
